ID,Class,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32
1,1.0,53,yes,V5,11.0,V2,V1,V1,V3,7865,F,,V1,V3,V4,0.0,30964,1.0,V1,3824,4,V2,V2,1,V3,11,V2,4,V3,1.0,T,7865,
2,0.0,35,yes,V3,11.0,V7,V1,V1,V1,3904,F,,V1,V3,V3,0.0,157435,1.0,V1,5160,2,V4,V1,2,V1,11,V4,2,V3,2.0,T,3904,
3,1.0,40,yes,V5,18.0,V2,V1,V2,V3,4296,F,,V2,V3,V4,0.0,21999,1.0,V1,3720,3,V3,V2,1,V2,18,V3,4,V1,1.0,T,4296,
4,0.0,28,yes,V3,14.0,V7,V1,V1,V4,1402,F,,V1,V3,V3,0.0,56353,1.0,V1,6245,4,V2,V1,1,V1,14,V2,2,V2,1.0,T,1402,
5,0.0,40,yes,V3,11.0,V1,V1,V4,V1,1503,F,,V4,V3,V3,0.0,6160,1.0,V1,5496,4,V3,V1,1,V1,11,V3,4,V4,1.0,T,1503,
6,0.0,25,yes,V2,11.0,V3,V1,V2,V1,624,F,,V2,V1,V2,0.0,13282,1.0,V3,4030,1,V2,V1,1,V2,11,V2,4,V4,1.0,T,624,
7,0.0,61,yes,V3,6.0,V4,V3,V4,V1,1337,F,,V4,V3,V3,0.0,58376,1.0,V1,4304,4,V2,V1,1,V2,6,V2,1,V1,1.0,T,1337,
8,1.0,24,yes,V2,12.0,V2,V1,V2,V2,2968,F,,V2,V3,V3,0.0,69444,1.0,V1,5968,3,V5,V1,2,V1,12,V5,4,V2,1.0,T,2968,
9,0.0,25,yes,V3,11.0,V2,V1,V4,V1,762,F,,V4,V3,V3,0.0,25653,1.0,V1,7189,1,V2,V2,1,V2,11,V2,4,V2,1.0,T,762,
10,0.0,44,yes,V5,36.0,V7,V1,V4,V4,10874,F,,V4,V3,V3,0.0,13784,1.0,V1,4399,2,V3,V2,2,V2,36,V3,2,V3,2.0,T,10874,
11,1.0,22,yes,V2,35.0,V2,V1,V4,V2,7126,F,,V4,V3,V3,0.0,14286,1.0,V1,4604,4,V4,V2,2,V1,35,V4,2,V2,1.0,T,7126,
12,0.0,28,no,V2,3.0,V7,V5,V3,V1,1494,F,,V3,V3,V2,0.0,71205,1.0,V1,4455,2,V2,V1,1,V2,3,V2,1,V3,2.0,T,1494,
13,0.0,34,yes,V4,24.0,V1,V1,V1,V3,2909,F,,V1,V3,V4,0.0,65624,1.0,V1,5282,1,V2,V2,1,V3,24,V2,2,V3,1.0,T,2909,
14,1.0,42,yes,V1,23.0,V7,V1,V1,V1,1333,F,,V1,V3,V3,0.0,84336,1.0,V1,4716,2,V3,V1,2,V3,23,V3,4,V3,2.0,T,1333,
15,0.0,27,yes,V4,18.0,V7,V1,V2,V1,6259,F,,V2,V3,V2,0.0,21540,1.0,V1,5431,3,V2,V1,1,V1,18,V2,3,V3,1.0,T,6259,
16,1.0,22,yes,V2,17.0,V7,V1,V1,V4,1216,F,,V1,V3,V3,0.0,77130,1.0,V1,5046,3,V2,V2,1,V1,17,V2,4,V2,1.0,T,1216,
17,0.0,30,yes,V3,14.0,V3,V1,V4,V2,1360,F,,V4,V3,V3,0.0,11610,1.0,V1,4883,2,V4,V1,2,V2,14,V4,4,V3,1.0,T,1360,
18,1.0,25,yes,V3,36.0,V7,V1,V4,V1,7855,F,,V4,V2,V3,0.0,120231,1.0,V1,3446,2,V4,V2,2,V2,36,V4,4,V2,1.0,T,7855,
19,0.0,39,yes,V5,12.0,V7,V1,V4,V4,1883,F,,V4,V3,V4,0.0,26599,1.0,V1,7295,4,V2,V2,1,V2,12,V2,4,V3,1.0,T,1883,
20,0.0,34,yes,V5,11.0,V3,V3,V1,V1,1679,F,,V1,V3,V3,0.0,48638,1.0,V1,4098,1,V2,V1,1,V2,11,V2,3,V4,1.0,T,1679,
21,0.0,50,yes,V5,24.0,V2,V1,V3,V3,2891,F,,V3,V3,V3,0.0,52442,1.0,V1,4763,4,V2,V1,1,V3,24,V2,3,V1,1.0,T,2891,
22,1.0,34,yes,V5,9.0,V6,V1,V2,V4,1500,F,,V2,V3,V4,0.0,13527,1.0,V1,5235,3,V4,V2,2,V2,9,V4,2,V2,1.0,T,1500,
23,1.0,22,yes,V2,8.0,V3,V1,V1,V2,1366,F,,V1,V3,V3,0.0,18672,1.0,V1,5651,4,V2,V1,1,V1,8,V2,3,V2,1.0,T,1366,
24,1.0,29,yes,V5,44.0,V9,V1,V1,V4,11815,F,,V1,V3,V3,0.0,44304,1.0,V1,4794,4,V5,V1,2,V1,44,V5,2,V3,1.0,T,11815,
25,0.0,45,yes,V2,7.0,V3,V1,V2,V1,2329,F,,V2,V3,V3,0.0,86943,1.0,V3,5990,1,V2,V1,1,V2,7,V2,1,V2,1.0,T,2329,
26,0.0,63,yes,V5,12.0,V3,V1,V4,V1,1654,F,,V4,V3,V2,0.0,5513,1.0,V1,5115,4,V4,V2,2,V2,12,V4,2,V3,1.0,T,1654,
27,1.0,61,yes,V5,21.0,V9,V2,V2,V4,2766,F,,V2,V1,V2,0.0,25852,1.0,V1,4901,2,V2,V1,2,V1,21,V2,4,V1,1.0,T,2766,
28,0.0,24,yes,V3,11.0,V3,V1,V3,V4,3015,F,,V3,V3,V3,0.0,72796,1.0,V1,4431,1,V2,V1,1,V2,11,V2,3,V4,1.0,T,3015,
29,0.0,47,yes,V3,21.0,V7,V1,V2,V2,2352,F,,V2,V3,V3,0.0,58473,1.0,V1,5017,4,V3,V1,2,V2,21,V3,1,V1,1.0,T,2352,
30,0.0,23,yes,V3,17.0,V9,V2,V4,V2,1568,F,,V4,V3,V2,0.0,21116,1.0,V1,6051,4,V2,V1,1,V1,17,V2,3,V2,1.0,T,1568,
31,0.0,31,yes,V5,35.0,V3,V1,V3,V4,4473,F,,V3,V3,V3,0.0,9864,1.0,V1,5189,2,V2,V1,1,V2,35,V2,4,V3,1.0,T,4473,
32,0.0,36,yes,V5,23.0,V7,V4,V4,V1,1286,F,,V4,V3,V3,0.0,13829,1.0,V1,6483,4,V4,V2,2,V2,23,V4,4,V2,1.0,T,1286,
33,0.0,22,yes,V2,15.0,V6,V1,V3,V2,392,F,,V3,V3,V3,0.0,44270,1.0,V1,4847,4,V2,V2,1,V1,15,V2,4,V2,1.0,T,392,
